,,,,,,,(permil),,,
,,,alpha13,alphaD,lnQ13CH3D,alpha13,epsilon13,epsilonD,lnQ,epsilon13
1/T,T / K,T / C,CO2g/CH4,H2Ol/CH4,CH4/stoch,bicarb/CH4,CH4/CO2g,CH4/H2Ol,CH4/stoch,CH4/bicarb
0.003660992,273.15,0,1.081049598,1.318505156,0.006608242,1.06934487,-74.97306115,-241.5653474,6.60824164,-64.84799424
0.003595182,278.15,5,1.0788011,1.309304936,0.006423817,1.067793968,-73.04506855,-236.2359811,6.423816571,-63.48974653
0.003531697,283.15,10,1.076654545,1.300537526,0.006245471,1.066317496,-71.19697383,-231.087162,6.245471108,-62.19301159
0.003470415,288.15,15,1.074603474,1.292191661,0.006073044,1.064910612,-69.42418815,-226.1209927,6.073043581,-60.95404743
0.003411223,293.15,20,1.072641944,1.28425359,0.005906364,1.063568866,-67.72245311,-221.3375866,5.906364228,-59.76939313
0.003354016,298.15,25,1.070764482,1.276707917,0.005745258,1.062288163,-66.08781245,-216.735491,5.745258155,-58.63584403
0.003298697,303.15,30,1.06896604,1.269538243,0.005589548,1.061064731,-64.51658663,-212.3120309,5.58954772,-57.55042936
0.003245173,308.15,35,1.067241953,1.262727648,0.005439054,1.059895087,-63.00534978,-208.0635905,5.439054432,-56.51039212
0.003193358,313.15,40,1.065587904,1.256259063,0.0052936,1.058776014,-61.55090893,-203.9858421,5.293600466,-55.51317094
0.003143171,318.15,45,1.063999897,1.250115532,0.00515301,1.057704534,-60.15028516,-200.0739335,5.153009857,-54.55638368
0.003094538,323.15,50,1.062474224,1.244280416,0.005017109,1.056677891,-58.80069646,-196.3226396,5.017109426,-53.63781265
0.003001651,333.15,60,1.05959635,1.233471255,0.004758704,1.054749061,-56.24438931,-189.279851,4.758704453,-51.90719128
0.002914177,343.15,70,1.056929515,1.223709156,0.004517079,1.052971161,-53.86311449,-182.8123578,4.517079003,-50.30637417
0.002831658,353.15,80,1.054452219,1.214882096,0.004291001,1.051328286,-51.64029093,-176.874856,4.291001421,-48.82232033
0.002753683,363.15,90,1.05214571,1.206888934,0.00407932,1.049806604,-49.56130075,-171.4233413,4.079319998,-47.44359986
0.002679887,373.15,100,1.049993569,1.199639148,0.003880964,1.048394037,-47.61321422,-166.4159999,3.880963964,-46.16016071
0.002609944,383.15,110,1.047981364,1.193052185,0.003694942,1.047079998,-45.78455887,-161.813697,3.694941879,-44.9631337
0.002543558,393.15,120,1.046096367,1.187056617,0.003520338,1.045855174,-44.06512463,-157.5801983,3.520338419,-43.84466899
0.002480466,403.15,130,1.044327307,1.181589254,0.00335631,1.044711345,-42.44579888,-153.6822152,3.356310249,-42.79779833
0.002420428,413.15,140,1.042664177,1.176594252,0.003202081,NaN,-40.91842621,-150.089338,3.20208141,NaN
0.002363228,423.15,150,1.041098063,1.172022284,0.003056939,NaN,-39.4756887,-146.7739019,3.056938547,NaN
0.002308669,433.15,160,1.039621,1.167829765,0.002920226,NaN,-38.11100351,-143.710813,2.92022616,NaN
0.002256572,443.15,170,1.038225851,1.163978168,0.002791342,NaN,-36.81843473,-140.8773572,2.791342006,NaN
0.002206775,453.15,180,1.036906206,1.160433403,0.002669733,NaN,-35.59261755,-138.2530032,2.66973273,NaN
0.002159128,463.15,190,1.035656292,1.157165271,0.00255489,NaN,-34.42869254,-135.8192085,2.554889758,NaN
0.002113495,473.15,200,1.034470897,1.154146988,0.002446345,NaN,-33.32224873,-133.5592343,2.446345484,NaN
0.002027781,493.15,220,1.032275233,1.148767426,0.002246467,NaN,-31.26611221,-129.5017793,2.246466563,NaN
0.001948748,513.15,240,1.030286463,1.144134021,0.002067047,NaN,-29.39615763,-125.976519,2.067047478,NaN
0.001875645,533.15,260,1.028477432,1.140118812,0.001905498,NaN,-27.68892223,-122.8984299,1.90549796,NaN
0.001807828,553.15,280,1.02682545,1.13661922,0.00175961,NaN,-26.12464502,-120.1978792,1.759610122,NaN
0.001744744,573.15,300,1.025311428,1.133552464,0.001627496,NaN,-24.68657587,-117.8176292,1.627495697,NaN
0.001685914,593.15,320,1.023919195,1.130851296,0.001507534,NaN,-23.36043195,-115.7104359,1.5075342,NaN
0.001630922,613.15,340,1.022634968,1.128460733,0.00139833,NaN,-22.13396631,-113.8371318,1.398330137,NaN
0.001579405,633.15,360,1.021446936,1.126335535,0.001298678,NaN,-20.99662292,-112.1650975,1.298677632,NaN
0.003950227,253.15,-20,1.091213686,1.359700618,0.007409456,NaN,NaN,NaN,7.409455956,NaN
0.003873717,258.15,-15,1.088480339,1.348752481,0.007199406,NaN,NaN,NaN,7.19940619,NaN
0.003800114,263.15,-10,1.085881191,1.338229716,0.006995914,NaN,NaN,NaN,6.995913853,NaN
0.003729256,268.15,-5,1.083407071,1.328145864,0.006798896,NaN,NaN,NaN,6.79889621,NaN
