T	eps_mwHS	eps_mwHC	eps_mwHB	Del_equiv	epsMAX	epsMIN
0	-241.7	-220.6	-261	6.61	-220.6	-261
20	-221.4	-201.1	-231.2	5.9	-201.1	-231.2
40	-204.1	-186.2	-208.6	5.29	-186.2	-208.6
60	-189.3	-174.7	-191.3	4.75	-174.7	-191.3
80	-176.9	-165.6	-178	4.29	-165.6	-178
100	-166.5	-158.4	-167.8	3.88	-158.4	-167.8
120	-157.6	-152.6	-159.8	3.52	-152.6	-159.8
140	-150.1	-147.9	-153.5	3.2	-147.9	-153.5
160	-143.7	-144.1	-148.5	2.92	-143.7	-148.5
180	-138.3	-141	-144.6	2.67	-138.3	-144.6
200	-133.6	-138.5	-141.4	2.45	-133.6	-141.4
220	-129.5	-136.5	-138.8	2.25	-129.5	-138.8
240	-126	-135	-136.8	2.07	-126	-136.8
260	-122.9	-133.9	-135.2	1.91	-122.9	-135.2
280	-120.2	-133.3	-134.1	1.77	-120.2	-134.1
300	-117.8	-133.2	-133.3	1.64	-117.8	-133.3
320	-115.7	-133.5	-133	1.52	-115.7	-133.5
340	-113.8	-134.3	-133.1	1.41	-113.8	-134.3
360	-112.2	-135.5	-133.6	1.31	-112.2	-135.5
